ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,Wsets,Lsets,WPts,LPts,Comment,PSW,PSL,B365W,B365L
1,Brisbane,Brisbane International,2010-01-04,ATP250,Outdoor,Hard,1st Round,3,Gasquet R.,Nieminen J.,52.0,88.0,2.0,1.0,850.0,568.0,Completed,1.526,2.74,1.44,2.62
1,Brisbane,Brisbane International,2010-01-04,ATP250,Outdoor,Hard,1st Round,3,Odesnik W.,Clement A.,105.0,63.0,2.0,0.0,521.0,667.0,Completed,2.14,1.813,2.25,1.57
1,Brisbane,Brisbane International,2010-01-04,ATP250,Outdoor,Hard,1st Round,3,Gicquel M.,Petzschner P.,58.0,80.0,2.0,0.0,744.0,587.0,Completed,1.676,2.36,1.61,2.2
1,Brisbane,Brisbane International,2010-01-04,ATP250,Outdoor,Hard,1st Round,3,Falla A.,Chardy J.,81.0,32.0,2.0,0.0,587.0,1102.0,Completed,2.58,1.581,2.62,1.44
1,Brisbane,Brisbane International,2010-01-04,ATP250,Outdoor,Hard,1st Round,3,Levy H.,Llodra M.,119.0,67.0,2.0,0.0,461.0,649.0,Completed,2.17,1.787,3.0,1.36
1,Brisbane,Brisbane International,2010-01-04,ATP250,Outdoor,Hard,1st Round,3,Bellucci T.,Chela J.I.,36.0,73.0,2.0,1.0,1021.0,611.0,Completed,1.758,2.22,1.61,2.2
1,Brisbane,Brisbane International,2010-01-04,ATP250,Outdoor,Hard,1st Round,3,Stepanek R.,Millman J.,12.0,306.0,2.0,0.0,2625.0,137.0,Completed,1.087,9.95,1.04,10.0
1,Brisbane,Brisbane International,2010-01-04,ATP250,Outdoor,Hard,1st Round,3,Roddick A.,Luczak P.,7.0,77.0,2.0,0.0,4410.0,598.0,Completed,1.121,7.83,1.08,7.0
1,Brisbane,Brisbane International,2010-01-05,ATP250,Outdoor,Hard,1st Round,3,Dolgopolov O.,Tomic B.,131.0,286.0,2.0,0.0,413.0,150.0,Completed,1.758,2.22,1.72,2.0
1,Brisbane,Brisbane International,2010-01-05,ATP250,Outdoor,Hard,1st Round,3,Berdych T.,Lindahl N.,20.0,251.0,2.0,0.0,1655.0,179.0,Completed,1.163,6.26,1.12,5.5
1,Brisbane,Brisbane International,2010-01-05,ATP250,Outdoor,Hard,1st Round,3,Baghdatis M.,Fish M.,42.0,55.0,2.0,0.0,945.0,790.0,Completed,1.377,3.41,1.36,3.0
1,Brisbane,Brisbane International,2010-01-05,ATP250,Outdoor,Hard,1st Round,3,Ball C.,Zverev M.,134.0,78.0,2.0,0.0,400.0,590.0,Completed,1.917,2.01,2.1,1.66
1,Brisbane,Brisbane International,2010-01-05,ATP250,Outdoor,Hard,1st Round,3,Blake J.,Querrey S.,44.0,25.0,2.0,1.0,935.0,1320.0,Completed,1.769,2.2,1.72,2.0
1,Brisbane,Brisbane International,2010-01-05,ATP250,Outdoor,Hard,1st Round,3,Ebden M.,Melzer J.,285.0,28.0,2.0,0.0,151.0,1260.0,Completed,5.57,1.19,5.0,1.14
1,Brisbane,Brisbane International,2010-01-05,ATP250,Outdoor,Hard,1st Round,3,Serra F.,Reister J.,65.0,173.0,2.0,1.0,665.0,284.0,Completed,1.483,2.9,1.44,2.62
1,Brisbane,Brisbane International,2010-01-05,ATP250,Outdoor,Hard,1st Round,3,Monfils G.,Dent T.,13.0,76.0,2.0,1.0,2610.0,602.0,Completed,1.294,4.05,1.22,4.0
1,Brisbane,Brisbane International,2010-01-06,ATP250,Outdoor,Hard,2nd Round,3,Blake J.,Gicquel M.,44.0,58.0,2.0,1.0,935.0,744.0,Completed,1.424,3.15,1.36,3.0
1,Brisbane,Brisbane International,2010-01-06,ATP250,Outdoor,Hard,2nd Round,3,Stepanek R.,Dolgopolov O.,12.0,131.0,2.0,1.0,2625.0,413.0,Completed,1.159,6.39,1.12,5.5
1,Brisbane,Brisbane International,2010-01-06,ATP250,Outdoor,Hard,2nd Round,3,Odesnik W.,Falla A.,105.0,81.0,2.0,1.0,521.0,587.0,Completed,2.4,1.658,2.25,1.57
1,Brisbane,Brisbane International,2010-01-06,ATP250,Outdoor,Hard,2nd Round,3,Roddick A.,Ball C.,7.0,134.0,2.0,0.0,4410.0,400.0,Completed,1.125,7.65,1.06,8.0
1,Brisbane,Brisbane International,2010-01-06,ATP250,Outdoor,Hard,2nd Round,3,Gasquet R.,Ebden M.,52.0,285.0,2.0,0.0,850.0,151.0,Completed,1.258,4.45,1.2,4.33
1,Brisbane,Brisbane International,2010-01-06,ATP250,Outdoor,Hard,2nd Round,3,Bellucci T.,Levy H.,36.0,119.0,2.0,1.0,1021.0,461.0,Completed,1.5,2.83,1.4,2.75
1,Brisbane,Brisbane International,2010-01-06,ATP250,Outdoor,Hard,2nd Round,3,Monfils G.,Serra F.,13.0,65.0,2.0,1.0,2610.0,665.0,Completed,1.211,5.17,1.16,4.5
1,Brisbane,Brisbane International,2010-01-06,ATP250,Outdoor,Hard,2nd Round,3,Berdych T.,Baghdatis M.,20.0,42.0,2.0,0.0,1655.0,945.0,Completed,1.935,1.99,1.8,1.9
1,Brisbane,Brisbane International,2010-01-07,ATP250,Outdoor,Hard,Quarterfinals,3,Stepanek R.,Odesnik W.,12.0,105.0,2.0,0.0,2625.0,521.0,Completed,1.222,4.96,1.2,4.33
1,Brisbane,Brisbane International,2010-01-07,ATP250,Outdoor,Hard,Quarterfinals,3,Monfils G.,Blake J.,13.0,44.0,2.0,1.0,2610.0,935.0,Completed,1.667,2.38,1.57,2.25
